"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory.Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"CD180",10.5537893195639,11.1349944723045,10.1348344630333,6.31794879344076,4.5942437044266,5.28404022655671,6.3940449011505,5.6398564939405,7.49358606712575,7.04879695770585,5.24980655633375,4.99771768749087,9.17354452692411,7.66080776322871,6.91982183043856,11.4453480099248,6.77492538831957,6.55869110791099,6.0258070195556,5.74800715996984,6.77067528644644,6.80142998195512
"IL17A",4.6501765387727,5.02975169767666,3.82773757100709,3.00336863410863,2.91604241062739,2.91846548832448,8.20473151411915,6.13381084512047,3.60731407853007,4.27256434685728,3.39391145864549,3.18390067490512,3.15855547405347,3.1081215815093,3.68296791484879,2.76494346967705,3.11325963130722,3.25643762411621,3.70800492502682,4.40621103661572,3.18004441395511,5.34154598190444
"LEF1",4.9958555549387,4.88198717339444,5.84501895769214,10.2358235653179,11.4017945930536,10.1739564812188,8.6932359126453,8.95673302351864,8.51519736456604,7.18331917059005,6.86037565765186,6.8685464394183,3.75933086343252,3.64596159691087,3.68162490696072,4.070925338077,3.65670027496648,4.15793687750484,4.41487411540907,4.28498818958379,6.75683734348781,5.01236820183684
"PLA1A",5.19458899846384,4.86390298951511,4.01404243527739,4.09709881028598,4.12589239900474,3.14454868699728,3.93243810273645,4.38810492412446,4.12664590742366,5.02640884831184,4.7081582548893,3.79167592207041,5.9154197175779,4.7681844253685,11.4516076047466,3.94523161338053,5.28691786693992,9.34008917521698,5.64377064263599,5.47154010841289,5.75902766106125,4.75676907023105
"TLR8",3.10134646659221,2.9476522187799,4.35414785919655,2.74432236048304,2.71607545571711,2.9691875045444,2.75070485084045,5.33923412029505,2.74911933009975,6.53290939395859,2.77098126441838,2.8292658336821,10.5727667736424,9.33897286001228,11.2174705388832,10.0809564059648,9.11561548617748,9.38412024269188,4.32613029957696,3.3923619601482,3.06526537107836,10.7489225990683
"AMPD1",8.04845996577599,7.77321654761017,11.5573526763421,6.06840189020333,6.12229885480881,6.43159567092531,6.11813970752816,5.78018242748322,6.32668495617581,6.84611138373536,5.91026343393496,5.9466571800009,6.63274234649638,6.27695379354216,5.98635732880563,5.92961807505379,6.49523142599475,5.94587678148903,5.83815954922035,6.25627662359069,6.90084811922436,7.44936856551084
"ARRB1",4.08160838959304,4.01775787137028,4.32138737173428,4.32849932840475,4.30101671730942,4.71062568980676,4.58827391209791,4.28132188606294,3.1532507950034,4.01026668057423,5.86781510432087,7.12917316699305,8.78540997856999,8.38541495519589,9.88724166677958,8.63138163900522,5.46295486568341,5.07315586534511,5.50671857921015,5.01303016332563,4.75884642458143,5.07679939902118
"CAMP",5.05527462496774,4.93852667126006,5.73138482999672,6.2695018831451,7.2246337420555,6.68285085180213,5.07178096840138,6.93475197473481,5.09139355427854,5.36408895110632,10.6937197161731,7.03709434618913,6.99071501509452,7.55732864446914,6.36905638397332,6.73390157822662,6.58230335376167,5.41036192224666,7.80886213915704,7.46069523645739,9.05109004407475,10.5587767605244
"RCAN3",5.57489224769287,5.3807469547177,5.40256811768197,7.28567795072106,7.78557493624409,9.14971225183655,7.60060867431883,4.89784401149504,8.38228013008846,4.87546751670435,3.04187466092937,4.7010885253121,5.41560227663616,5.80705043181008,5.27055251380685,4.89100620781238,4.9798022462745,6.74989678371856,2.85402508284351,5.17283978987585,3.58393009349998,2.64844954959454
"ACHE",4.01059629604282,4.14150205383379,4.53130264635096,3.85082826173916,4.8169955220176,4.28132188606294,3.85212555092624,3.98235858711356,4.68103944798764,5.11513516298653,4.14190182681774,3.85212555092624,4.11896335274487,3.87705344586091,10.4242393877149,5.63185398359641,4.14693812535095,7.60110203396227,3.9019556402019,4.42634853057722,5.37207893081722,4.57085716279726
